,carat,depth,table,price,x,y,z
0,0.039473684210526314,0.5714285714285715,0.06666666666666667,0,0.060150375939849676,0.08914728682170542,0.08888888888888895
0.01,1,1,0.5333333333333333,0.9995891536565324,0.9323308270676689,0.8527131782945737,1
0.02,0.039473684210526314,0.16071428571428553,0.7333333333333333,0.0004108463434675431,0.09774436090225555,0.1240310077519381,0.022222222222222237
0.03,0.1184210526315789,0.6517857142857143,0.26666666666666666,0.003286770747740345,0.1541353383458647,0.18604651162790714,0.1999999999999999
0.04,0.14473684210526314,0.7321428571428571,0.26666666666666666,0.0036976170912078883,0.20676691729323302,0.23255813953488358,0.2666666666666666
0.05,0.0526315789473684,0.6874999999999999,0.2,0.004108463434675432,0.056390977443608985,0.08139534883720928,0.11666666666666663
0.06,0.0526315789473684,0.6428571428571427,0.2,0.004108463434675432,0.060150375939849676,0.08914728682170542,0.11111111111111119
0.07,0.07894736842105263,0.6071428571428571,0.06666666666666667,0.0045193097781429745,0.10526315789473693,0.13953488372093034,0.1444444444444443
0.08,0.0263157894736842,0.8928571428571426,0.4666666666666667,0.0045193097781429745,0.030075187969924838,0.01162790697674411,0.12222222222222232
0.09,0.039473684210526314,0.38392857142857134,0.4666666666666667,0.0049301561216105174,0.07894736842105261,0.11627906976744179,0.06666666666666672
0.1,0.13157894736842102,0.7946428571428573,0.06666666666666667,0.005341002465078061,0.17293233082706766,0.20542635658914737,0.2555555555555555
0.11,0.039473684210526314,0.6874999999999999,0.13333333333333333,0.005751848808545604,0.05263157894736847,0.058139534883720895,0.10555555555555551
0.12,0.0263157894736842,0.47321428571428564,0.4666666666666667,0.00657354149548069,0.033834586466165356,0.0348837209302325,0.03333333333333336
0.13,0.14473684210526314,0.6339285714285718,0,0.007395234182415777,0.21052631578947353,0.24031007751937988,0.24444444444444438
0.14,0,0.4553571428571432,0.5333333333333333,0.0078060805258833195,0,0,0
0.15,0.15789473684210525,0.5178571428571428,0.26666666666666666,0.0078060805258833195,0.22180451127819542,0.2596899224806201,0.22777777777777783
0.16,0.13157894736842102,0.6160714285714287,0,0.009038619556285949,0.1954887218045111,0.2286821705426356,0.22777777777777783
0.17,0.13157894736842102,0.7410714285714286,0,0.010271158586688579,0.1654135338345866,0.20930232558139536,0.23888888888888896
0.18,0.13157894736842102,0.7767857142857142,0.13333333333333333,0.010271158586688579,0.1654135338345866,0.19767441860465107,0.24444444444444438
0.19,0.13157894736842102,0.6785714285714289,0.3333333333333333,0.010271158586688579,0.15789473684210523,0.20155038759689906,0.2166666666666667
0.2,0.13157894736842102,0.7321428571428571,0.13333333333333333,0.010271158586688579,0.17669172932330818,0.21317829457364335,0.24444444444444438
0.21,0.039473684210526314,0.7767857142857142,0.06666666666666667,0.010682004930156122,0.02255639097744363,0.06589147286821702,0.11666666666666663
0.22,0.039473684210526314,0.5267857142857144,0.2,0.011092851273623664,0.056390977443608985,0.08139534883720928,0.07777777777777783
0.23,0.14473684210526314,0.38392857142857134,0.5333333333333333,0.011092851273623664,0.22556390977443594,0.2635658914728681,0.19444444444444448
0.24,0.14473684210526314,0.26785714285714296,0.5333333333333333,0.011092851273623664,0.24436090225563922,0.27906976744186035,0.17777777777777767
0.25,0.039473684210526314,0.47321428571428564,0.26666666666666666,0.011503697617091208,0.06766917293233088,0.10077519379844953,0.07777777777777783
0.26,0.0526315789473684,0.6607142857142858,0.2,0.01191454396055875,0.06766917293233088,0.07364341085271316,0.11111111111111119
0.27,0.13157894736842102,0.6339285714285718,0.2,0.012736236647493838,0.18421052631578955,0.21317829457364335,0.22222222222222213
0.28,0.039473684210526314,0.4821428571428572,0.4666666666666667,0.012736236647493838,0.0639097744360902,0.08527131782945743,0.07222222222222215
0.29,0.039473684210526314,0.5178571428571428,0.2,0.012736236647493838,0.0639097744360902,0.09302325581395357,0.08333333333333327
